scope,condition,epsilon,seed,subject,regime,model,balanced_accuracy,macro_f1,advantage_over_chance,session_accuracy
utility,analytic_gaussian,2.0,456,2,,personalized_logistic_regression,0.2847222222222222,0.28290963377170275,,
utility,analytic_gaussian,2.0,456,3,,personalized_logistic_regression,0.2013888888888889,0.1987975532093179,,
utility,analytic_gaussian,2.0,456,4,,personalized_logistic_regression,0.2569444444444444,0.25814835820791016,,
utility,analytic_gaussian,2.0,456,5,,personalized_logistic_regression,0.21875,0.2189323787584997,,
utility,analytic_gaussian,2.0,456,6,,personalized_logistic_regression,0.23958333333333334,0.2366535752979415,,
utility,analytic_gaussian,2.0,456,7,,personalized_logistic_regression,0.19097222222222224,0.18862355854186474,,
utility,analytic_gaussian,2.0,456,8,,personalized_logistic_regression,0.22916666666666666,0.2270917481296163,,
utility,analytic_gaussian,2.0,456,9,,personalized_logistic_regression,0.2222222222222222,0.22281880073317625,,
utility,task_weighted_empirical,2.0,456,1,,personalized_logistic_regression,0.2465277777777778,0.24632352941176472,,
utility,task_weighted_empirical,2.0,456,2,,personalized_logistic_regression,0.2569444444444444,0.2554189278181795,,
utility,task_weighted_empirical,2.0,456,3,,personalized_logistic_regression,0.2951388888888889,0.295368492224476,,
utility,task_weighted_empirical,2.0,456,4,,personalized_logistic_regression,0.23263888888888887,0.23014422874541818,,
utility,task_weighted_empirical,2.0,456,5,,personalized_logistic_regression,0.2326388888888889,0.2323671485238315,,
utility,task_weighted_empirical,2.0,456,6,,personalized_logistic_regression,0.24305555555555555,0.24133352337941952,,
utility,task_weighted_empirical,2.0,456,7,,personalized_logistic_regression,0.24305555555555555,0.2431404772874443,,
utility,task_weighted_empirical,2.0,456,8,,personalized_logistic_regression,0.2743055555555556,0.2741807769959162,,
utility,task_weighted_empirical,2.0,456,9,,personalized_logistic_regression,0.2673611111111111,0.26524772530207313,,
utility,analytic_gaussian,2.0,789,1,,personalized_logistic_regression,0.2847222222222222,0.2847544716574859,,
utility,analytic_gaussian,2.0,789,2,,personalized_logistic_regression,0.28125,0.2813102420081825,,
utility,analytic_gaussian,2.0,789,3,,personalized_logistic_regression,0.26041666666666663,0.2593430921348989,,
utility,analytic_gaussian,2.0,789,4,,personalized_logistic_regression,0.28125,0.2780093903986787,,
utility,analytic_gaussian,2.0,789,5,,personalized_logistic_regression,0.2326388888888889,0.22992320401702065,,
utility,analytic_gaussian,2.0,789,6,,personalized_logistic_regression,0.2326388888888889,0.2297255344367457,,
utility,analytic_gaussian,2.0,789,7,,personalized_logistic_regression,0.2916666666666667,0.29139138394503844,,
utility,analytic_gaussian,2.0,789,8,,personalized_logistic_regression,0.23263888888888887,0.22654032014497133,,
utility,analytic_gaussian,2.0,789,9,,personalized_logistic_regression,0.2326388888888889,0.23123377065637374,,
utility,task_weighted_empirical,2.0,789,1,,personalized_logistic_regression,0.24305555555555555,0.24332283763516863,,
utility,task_weighted_empirical,2.0,789,2,,personalized_logistic_regression,0.2534722222222222,0.25307569836445215,,
utility,task_weighted_empirical,2.0,789,3,,personalized_logistic_regression,0.2361111111111111,0.2361109699516549,,
utility,task_weighted_empirical,2.0,789,4,,personalized_logistic_regression,0.2152777777777778,0.2124152243850157,,
utility,task_weighted_empirical,2.0,789,5,,personalized_logistic_regression,0.2048611111111111,0.20644069545053037,,
utility,task_weighted_empirical,2.0,789,6,,personalized_logistic_regression,0.2638888888888889,0.25929164458576226,,
